61, 619070.385, 4204383.427, 3.24, 4.86, 5.22, 6.63, 6.60, 5.31  
62, 619065.023, 4204383.528, 2.96, 4.43, 4.92, 6.22, 6.25, 4.96  
63, 619060.032, 4204383.735, 3.09, 4.61, 5.05, 6.40, 6.40, 5.11  
64, 619054.713, 4204383.15, 2.64, 3.92, 4.57, 5.76, 5.84, 4.54  
65, 619049.48, 4204383.293, 2.40, 3.55, 4.31, 5.41, 5.53, 4.24  
66, 619044.204, 4204382.383, 2.06, 3.03, 3.95, 4.93, 5.11, 3.82  
67, 619038.918, 4204382.847, 2.37, 3.51, 4.28, 5.37, 5.50, 4.20  
68, 619033.505, 4204380.96, 1.98, 2.90, 3.86, 4.81, 5.01, 3.71  
69, 619028.325, 4204381.528, 1.63, 2.37, 3.49, 4.31, 4.57, 3.28  
70, 619023.219, 4204381.579, 1.68, 2.45, 3.55, 4.38, 4.64, 3.34  
71, 619017.673, 4204381.69, 1.47, 2.12, 3.32, 4.08, 4.37, 3.07  
72, 619011.987, 4204381.488, 1.26, 1.79, 3.09, 3.77, 4.10, 2.80  
73, 619006.749, 4204380.583, 1.00, 1.40, 2.82, 3.40, 3.78, 2.48  
74, 619001.18, 4204381.48, 0.72, 0.96, 2.51, 2.99, 3.42, 2.12  
75, 618995.933, 4204379.989, 0.44, 0.53, 2.22, 2.60, 3.08, 1.77  
76, 618990.273, 4204380.724, 0.34, 0.37, 2.11, 2.45, 2.95, 1.64  
77, 618984.782, 4204379.62, 0.14, 0.06, 1.89, 2.16, 2.69, 1.39  
78, 618979.057, 4204380.583, 0.00, 0.00, 1.45, 1.57, 2.17, 0.87  
79, 618973.902, 4204379.681, 0.00, 0.00, 1.40, 1.51, 2.13, 0.82  
80, 618968.692, 4204379.45, 0.00, 0.00, 1.61, 1.79, 2.37, 1.06  
81, 618963.299, 4204379.649, 0.00, 0.00, 1.57, 1.74, 2.32, 1.02  
82, 618957.958, 4204378.367, 0.11, 0.02, 1.86, 2.12, 2.66, 1.35  
83, 618951.915, 4204379.162, 0.32, 0.34, 2.09, 2.42, 2.92, 1.62  
84, 618946.57, 4204377.141, 0.40, 0.46, 2.17, 2.54, 3.02, 1.72  
85, 618941.152, 4204377.599, 0.58, 0.74, 2.36, 2.79, 3.24, 1.94  
86, 618935.445, 4204378.131, 0.60, 0.77, 2.38, 2.82, 3.27, 1.97  
87, 618930.148, 4204377.355, 0.84, 1.15, 2.64, 3.17, 3.58, 2.28  
88, 618924.4, 4204378.265, 0.58, 0.75, 2.37, 2.80, 3.26, 1.95  
89, 618919.274, 4204377.148, 0.54, 0.68, 2.32, 2.73, 3.19, 1.89  
90, 618913.446, 4204378.228, 0.65, 0.85, 2.44, 2.90, 3.34, 2.04  
91, 618907.96, 4204377.564, 0.51, 0.63, 2.28, 2.69, 3.16, 1.85  
92, 618902.631, 4204378.418, 0.33, 0.36, 2.09, 2.43, 2.93, 1.63  
