973,0.15,7.97,0.724
973,0.45,7.75,0.84
973,0.75,8.3,0.999
1116,0.15,7.86,1.255
1116,0.45,7.95,2.52
1116,0.75,8,1.917
1632,0.15,8.24,7.39
1632,0.45,8.13,7.4
1632,0.75,8,6.9
2645,0.15,7.52,0.655
2645,0.45,7.88,1.027
2645,0.75,7.77,1.318
3284,0.15,7.91,1.051
3284,0.45,7.84,3.06
3284,0.75,7.96,3
4049,0.15,7.7,0.837
4049,0.45,7.82,0.77
4049,0.75,7.92,0.689
