 620424.465, 4202071.846, "1234-125"
 620096.639, 4202037.552, "1234-254"
 620183.828, 4202007.598, "1234-403"
 620100.64, 4201912.588, "1234-709"
 620194.133, 4201912.872, "1234-730"
 620377.924, 4201882.046, "1234-807"
 620132.314, 4201786.146, "1234-1176"
 620270.063, 4201787.501, "1234-1205"
 620006.941, 4201754.433, "1234-1338"
 620132.83, 4201594.265, "1234-1819"
 619974.569, 4201530.807, "1234-1990"
 620305.795, 4201530.879, "1234-2071"
